AmplitudeBandWidth,AmplitudeMean,NumberOverload,NumberUnderloads,StabilizationTime,VibrationMotorOn
36.285,12.502,0,0,3230,1
71.899,24.918,0,0,3199,1
543.236,474.136,0,0,4041,1
44.625,15.188,0,0,5055,1
34.323,11.074,0,0,3089,1
38.549,14.622,0,0,4197,1
31.925,11.476,0,0,3011,1
52.494,15.408,0,0,6053,1
35.053,17.622,0,0,4525,1
563.37,471.28,0,0,3760,1
1.643,1.108,0,0,6490,1
62.141,25.442,0,0,6490,1
51.012,12.162,0,0,3011,1
44.29,19.424,0,0,4915,1
46.917,12.264,0,0,3011,1
53.341,18.194,0,0,3838,1
15.293,7.758,0,0,3074,1
39.778,23.672,0,0,3011,1
39.57,8.996,0,0,3011,1
40.223,14.528,0,0,4135,1
34.293,10.25,0,0,3043,1
42.622,16.936,0,0,4852,1
68.512,22.982,0,0,3105,1
382.436,66.872,0,0,3105,1
48.078,19.508,0,0,5305,1
12.852,3.886,0,0,3089,1
32.531,9.67,0,0,5242,1
28.505,7.81,0,0,3433,1
31.383,7.296,0,0,4587,1
55.443,18.252,0,0,3011,1
49.696,17.24,0,0,3667,1
35.008,12.196,0,0,3011,1
34.888,8.16,0,0,4088,1
28.836,10.416,0,0,4478,1
31.939,9.822,0,0,3011,1
28.751,14.652,0,0,3932,1
35.514,9.392,0,0,3230,1
16.954,5.036,0,0,4072,1
40.107,11.078,0,0,3011,1
33.158,11.42,0,0,6927,1
41.131,15.34,0,0,6927,1
51.528,12.616,0,0,3230,1
73.186,26.17,0,0,3479,1
41.975,12.776,0,0,3011,1
41.643,19.496,0,0,3542,1
25.454,7.988,0,0,3011,1
42.541,17.87,0,0,4150,1
31.689,11.732,0,0,3011,1
53.159,18.478,0,0,5180,1
2.27,1.47,0,0,4681,1
26.616,12.222,0,0,4369,0
38.902,8.668,0,0,3245,1
79.502,27.814,0,0,3011,1
24.508,5.46,0,0,6428,1
2.215,0.702,0,0,4649,1
45.348,15.698,0,0,3152,1
16.217,6.86,0,0,3901,1
40.514,12.954,0,0,3058,1
56.294,19.458,0,0,3620,1
422.024,204.86,0,0,6833,1
53.635,23.318,0,0,3121,1
36.139,12.096,0,0,4665,1
65.786,27.438,0,0,5554,1
65.184,18.798,0,0,3011,1
92.728,31.19,0,0,4868,1
35.11,15.396,0,0,3729,1
44.807,12.086,0,0,5242,1
2.136,2.236,0,0,3027,1
54.306,24.412,0,0,4072,1
51.194,25.664,0,0,4072,1
12.444,11.548,0,0,3027,1
47.643,19.636,0,0,4852,1
18.964,6.668,0,0,3121,1
36.16,10.16,0,0,4696,1
46.287,19.678,0,0,3058,1
51.887,14.774,0,0,3136,1
503.572,180.046,0,0,3136,1
49.917,16.066,0,0,4072,1
43.881,15.092,0,0,4540,1
29.592,11.888,0,0,3339,1
37.247,10.358,0,0,4961,1
31.04,8.722,0,0,3105,1
43.01,11.132,0,0,3713,1
38.112,10.132,0,0,4993,1
35.49,9.03,0,0,3339,1
50.097,12.7,0,0,4774,1
21.669,8.682,0,0,3011,1
39.584,11.034,0,0,3214,1
71.26,19.268,0,0,3011,1
30.742,10.784,0,0,3277,1
34.763,12.212,0,0,5117,1
10.835,7.698,0,0,3760,1
26.781,8.496,0,0,4400,1
31.641,8.592,0,0,3526,1
44.85,14.164,0,0,4088,1
21.906,8.72,0,0,3074,1
29.55,16.128,0,0,7379,1
60.471,18.524,0,0,7379,1
28.807,17.374,0,0,4041,1
62.265,16.33,0,0,4618,1
26.253,10.442,0,0,3807,1
43.499,14.446,0,0,4103,1
17.438,7.064,0,0,3121,1
49.225,12.822,0,0,3011,1
38.103,14.382,0,0,3011,1
30.352,10.26,0,0,3916,1
39.361,18.462,0,0,5461,1
27.725,10.978,0,0,4228,1
52.532,13.712,0,0,4681,1
39.916,14.048,0,0,3823,1
0.251,0.148,0,0,3011,0
0.282,0.168,0,0,3011,0
0.302,0.178,0,0,3011,0
