AmplitudeBandWidth;AmplitudeMean;NumberOverload;NumberUnderloads;StabilizationTime
7.417;2.098;0;0;3214
0.726;0.402;0;0;3339
6.061;2.092;0;0;3167
0.716;0.298;0;0;3261
0.638;0.578;0;0;3011
5.036;2.102;0;0;3167
5.081;1.952;0;0;3323
4.719;1.904;0;0;4072
0.841;0.496;0;0;3167
7.212;2.18;0;0;3214
18.418;7.834;0;0;3011
5.068;2.3;0;0;3261
5.718;2.132;0;0;3167
0.153;0.074;0;0;3230
6.566;2.022;0;0;3214
0.856;0.414;0;0;3214
4.033;1.744;0;0;3167
0.776;0.326;0;0;3230
5.43;1.77;0;0;3136
0.261;0.124;0;0;3214
1.076;0.664;0;0;4088
1.059;0.482;0;0;3214
4.532;1.948;0;0;3199
3.965;1.71;0;0;3199
0.948;0.512;0;0;3370
6.054;2.338;0;0;3183
6.022;2.206;0;0;3152
0.604;0.268;0;0;3230
6.473;2.246;0;0;3214
0.239;0.104;0;0;3199
0.861;0.51;0;0;3167
0.427;0.198;0;0;3230
0.123;0.06;0;0;3183
0.211;0.104;0;0;3199
0.861;0.472;0;0;3214
0.181;0.104;0;0;3167
0.919;0.42;0;0;3167
0.422;0.21;0;0;3214
0.46;0.202;0;0;3370
0.194;0.088;0;0;3167
0.576;0.312;0;0;3121
0.173;0.082;0;0;3214
0.122;0.058;0;0;3386
0.796;0.526;0;0;3167
4.087;1.772;0;0;4057
0.765;0.436;0;0;3370
7.046;2.104;0;0;3167
0.595;0.362;0;0;3167
5.962;2.284;0;0;4057
0.669;0.388;0;0;3230
0.273;0.28;0;0;3011
1.72;0.688;0;0;4088
5.371;1.932;0;0;3167
5.33;1.86;0;0;3152
5.217;2.2;0;0;3339
7.466;2.326;0;0;3386
0.632;0.306;0;0;3214
0.451;0.242;0;0;3230
6.125;2.318;0;0;3370
5.23;2.094;0;0;3167
1.037;0.558;0;0;3339
5.337;1.758;0;0;3183
4.812;1.882;0;0;3199
6.565;2.468;0;0;3776
5.242;2.078;0;0;3167
3.021;2.148;0;0;3011
0.693;0.426;0;0;3027
5.17;2.126;0;0;3370
7.422;2.46;0;0;3355
6.543;2.276;0;0;3167
4.954;2.208;0;0;3370
5.743;2.066;0;0;4041
7.293;2.198;0;0;3167
7.039;2.25;0;0;3199
5.981;2.17;0;0;3183
2.507;2.024;0;0;3011
5.279;2.146;0;0;4228
0.496;0.29;0;0;3386
7.728;2.354;0;0;3183
4.573;2.078;0;0;3386
7.349;2.144;0;0;3167
0.426;0.194;0;0;3355
7.148;2.194;0;0;3199
4.691;1.99;0;0;3230
5.994;2.022;0;0;4369
0.455;0.262;0;0;3183
4.113;1.804;0;0;3167
5.441;2.368;0;0;3355
6.828;2.004;0;0;3214
1.259;0.686;0;0;3167
5.95;2.01;0;0;3167
0.6;0.25;0;0;3199
6.655;2.2;0;0;3386
6.812;2.13;0;0;4072
5.096;2.1;0;0;3386
5.059;2.238;0;0;3245
6.585;2.178;0;0;3355
5.697;2.224;0;0;3199
5.928;1.982;0;0;4259
0.693;0.404;0;0;3183
7.61;2.278;0;0;3167
5.722;2.06;0;0;3167
5.649;2.306;0;0;3386
4.593;1.992;0;0;3339
5.561;2.046;0;0;3214
5.435;2.076;0;0;3386
6.125;2.166;0;0;4072
0.614;0.368;0;0;3245
0.352;0.19;0;0;4088
0.778;0.454;0;0;3167
4.342;1.98;0;0;4041
0.653;0.374;0;0;3214
4.318;1.872;0;0;3183
4.854;2.01;0;0;3183
0.279;0.12;0;0;3167
5.179;2.298;0;0;3370
5.23;1.954;0;0;3136
5.342;2.27;0;0;3370
0.198;0.096;0;0;3183
2.667;2.17;0;0;3011
7.075;2.114;0;0;3199
7.469;2.218;0;0;3199
5.836;1.828;0;0;3370
5.236;2.166;0;0;4057
0.722;0.418;0;0;3230
4.92;1.996;0;0;3199
5.765;2.374;0;0;3167
7.551;2.288;0;0;3183
5.496;2.186;0;0;3199
5.594;2.208;0;0;3167
0.325;0.156;0;0;3370
0.512;0.282;0;0;3386
5.188;2.096;0;0;3370
6.078;2.186;0;0;3245
0.573;0.258;0;0;3183
5.11;2.082;0;0;3214
0.284;0.128;0;0;3214
5.875;2.052;0;0;4010
0.828;0.484;0;0;3245
4.843;1.99;0;0;3214
0.292;0.124;0;0;3339
0.277;0.128;0;0;3167
1.984;1.638;0;0;3011
4.158;2.3;0;0;3027
0.64;0.376;0;0;3214
5.876;2.046;0;0;3183
5.551;2.246;0;0;3230
0.958;0.454;0;0;3214
5.283;1.904;0;0;3167
0.757;0.318;0;0;3214
1.423;1.046;0;0;3027
1.764;0.912;0;0;3261
5.687;1.996;0;0;3214
7.328;2.084;0;0;3355
4.109;1.902;0;0;3355
0.244;0.112;0;0;3167
5.225;1.972;0;0;3152
5.3;2.002;0;0;3167
5.21;2.15;0;0;3214
7.326;2.418;0;0;3199
0.699;0.31;0;0;3214
5.535;2.306;0;0;4072
0.805;0.46;0;0;3183
6.022;2.166;0;0;4057
0.902;0.5;0;0;3199
0.374;0.172;0;0;4057
7.47;2.254;0;0;3214
0.629;0.27;0;0;3214
5.167;2.068;0;0;3183
4.981;2.01;0;0;3152
4.934;1.852;0;0;3183
7.197;2.502;0;0;3167
5.646;2.302;0;0;3183
6.095;2.304;0;0;3199
4.953;2.014;0;0;3167
5.513;2.226;0;0;3167
7.491;2.384;0;0;3152
5.985;2.424;0;0;3152
5.715;2.12;0;0;3370
0.43;0.2;0;0;3152
0.37;0.158;0;0;3152
5.25;1.884;0;0;3199
0.953;0.544;0;0;3214
4.902;2.014;0;0;3152
0.836;0.382;0;0;3214
6.835;2.324;0;0;4088
0.727;0.412;0;0;3183
0.396;0.178;0;0;3214
5.159;1.866;0;0;3199
0.255;0.112;0;0;3199
0.433;0.212;0;0;3121
2.972;2.438;0;0;3027
0.686;0.42;0;0;3245
1.76;0.808;0;0;3230
5.946;2.122;0;0;3183
4.82;2.012;0;0;3214
7.347;2.07;0;0;3167
4.799;1.956;0;0;3214
5.799;1.924;0;0;3167
1.676;1.074;0;0;3183
7.3;2.218;0;0;3167
5.13;1.872;0;0;3199
0.263;0.116;0;0;3214
5.348;2.004;0;0;3167
5.971;2.062;0;0;3121
5.062;1.878;0;0;3183
0.244;0.11;0;0;3167
7.267;2.202;0;0;3183
6.013;2.174;0;0;3152
4.73;2.016;0;0;3214
0.301;0.138;0;0;3183
5.044;2.138;0;0;3167
0.322;0.146;0;0;3167
0.192;0.09;0;0;3199
4.856;1.978;0;0;3121
0.116;0.068;0;0;3167
0.214;0.098;0;0;3339
5.957;2.06;0;0;3167
5.51;2.056;0;0;3167
5.372;2.166;0;0;3386
6.246;2.124;0;0;3339
5.544;1.798;0;0;3183
0.205;0.092;0;0;3167
0.144;0.09;0;0;3355
7.295;2.268;0;0;4041
0.81;0.47;0;0;3355
5.938;2.184;0;0;4072
5.38;2.218;0;0;3199
1.58;1.29;0;0;3011
0.834;0.498;0;0;3011
0.177;0.126;0;0;3074
0.356;0.236;0;0;4774
0.202;0.098;0;0;3386
0.428;0.172;0;0;4525
0.5;0.298;0;0;4088
0.859;0.5;0;0;3261
0.469;0.208;0;0;3167
1.22;0.598;0;0;4072
0.863;0.506;0;0;4493
0.82;0.344;0;0;4493
0.518;0.28;0;0;4103
0.731;0.424;0;0;3214
0.857;0.428;0;0;4088
0.854;0.492;0;0;4103
0.804;0.472;0;0;3199
0.244;0.116;0;0;3199
